id,pid,ms_subclass,ms_zoning,lot_area,lot_shape,lot_config,neighborhood,house_style,overall_qual,overall_cond,year_built,year_remod/add,exterior_1st,mas_vnr_type,mas_vnr_area,foundation,bsmtfin_sf_1,bsmt_unf_sf,total_bsmt_sf,heating_qc,2nd_flr_sf,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,garage_cars,wood_deck_sf,open_porch_sf,mo_sold,yr_sold,saleprice
807,906226060,70,RL,10.181119289134408,4,FR2,SawyerW,2Story,5,7,1880,2007,HdBoard,None,0.0,PConc,0.0,0.0,0.0,5,728,0.0,0.0,1,0,4,1,7,1,2.0,0,0,6,2009,11.782952602183288
1177,533236070,160,FV,7.8804263442924,4,Inside,Somerst,2Story,8,5,1999,2000,MetalSd,BrkFace,456.0,PConc,813.0,147.0,960.0,5,645,1.0,0.0,2,1,3,1,7,0,2.0,169,0,12,2008,12.206072645530174
1480,907418040,20,RL,9.172326929777967,4,Inside,CollgCr,1Story,7,5,2007,2007,VinylSd,None,0.0,PConc,24.0,1327.0,1351.0,5,0,0.0,0.0,2,0,3,1,6,0,2.0,0,50,6,2008,12.170445467887022
324,923202105,20,RL,9.221675881639928,4,Inside,Mitchel,1Story,5,5,2004,2005,VinylSd,None,0.0,PConc,0.0,1430.0,1430.0,5,0,0.0,0.0,2,0,3,1,7,0,2.0,0,0,3,2010,12.063932878369052
1311,902301140,70,RM,8.427487278331744,4,Inside,OldTown,2Story,5,5,1916,1950,AsbShng,None,0.0,BrkTil,0.0,624.0,624.0,2,720,0.0,0.0,1,0,4,1,7,0,3.0,0,0,5,2008,11.49272275765271
770,905101490,20,RL,9.084323531392696,4,Corner,Sawyer,1Story,5,6,1963,1963,VinylSd,None,0.0,PConc,651.0,470.0,1121.0,3,0,1.0,0.0,1,0,3,1,5,0,2.0,0,80,6,2009,11.842229212112828
2063,905107140,20,RL,9.011523512653032,4,Inside,Sawyer,1Story,6,5,1977,1977,Plywood,BrkFace,148.0,CBlock,0.0,660.0,660.0,5,0,0.0,0.0,1,1,3,1,7,1,2.0,138,0,4,2007,11.874090314181814
69,528458070,60,FV,9.064157861798101,4,Inside,Somerst,2Story,7,5,2009,2009,VinylSd,None,0.0,PConc,24.0,732.0,756.0,5,783,0.0,0.0,2,1,3,1,7,0,2.0,169,45,6,2010,12.279323107269766
2062,905106150,20,RL,9.07383312732152,4,Inside,Sawyer,1Story,5,5,1968,1968,VinylSd,None,0.0,CBlock,492.0,402.0,894.0,4,0,0.0,0.0,1,0,3,1,5,1,2.0,0,0,5,2007,11.76756768334381
351,527131030,120,RL,8.641885635373555,3,Inside,StoneBr,1Story,8,5,2000,2000,CemntBd,None,0.0,PConc,1158.0,343.0,1501.0,5,0,1.0,0.0,2,0,2,1,5,1,2.0,212,59,10,2009,12.535376392672774
12,527165230,20,RL,8.984693690443855,3,Inside,Gilbert,1Story,6,7,1992,2007,HdBoard,None,0.0,PConc,935.0,233.0,1168.0,5,0,1.0,0.0,2,0,3,1,6,0,2.0,483,21,3,2010,12.128111104060462
2339,527250040,190,RL,10.453053004618049,4,Inside,Gilbert,1Story,5,5,1955,1955,Wd Sdng,None,0.0,CBlock,1056.0,0.0,1056.0,3,0,1.0,0.0,1,0,3,1,5,0,2.0,264,0,1,2006,11.884489021402711
624,535104120,20,RL,9.266058860732526,3,Corner,NAmes,1Story,6,6,1961,1961,MetalSd,BrkFace,3.0,CBlock,1312.0,141.0,1453.0,5,0,1.0,0.0,2,0,3,1,6,1,2.0,0,49,4,2009,12.141534124392603
86,532376160,20,RL,9.041921720351219,4,Inside,Sawyer,1Story,5,8,1965,2009,MetalSd,None,0.0,CBlock,553.0,224.0,894.0,5,0,1.0,0.0,1,0,3,1,5,1,1.0,416,144,4,2010,11.83862560460953
1534,909277040,50,RL,9.367344120785848,3,Inside,Crawfor,1.5Fin,5,6,1937,1995,WdShing,None,0.0,CBlock,606.0,336.0,942.0,5,673,0.0,0.0,2,0,4,1,7,1,1.0,0,40,7,2008,12.196022309676673
2243,911103060,190,C (all),9.017968479328726,4,Inside,IDOTRR,2Story,5,6,1895,2006,VinylSd,None,0.0,CBlock,0.0,957.0,957.0,2,957,0.0,0.0,2,0,4,2,9,0,0.0,0,0,6,2007,11.691908120498669
1957,535450190,50,RL,8.99516499031115,4,Corner,NAmes,1.5Fin,5,7,1949,2006,MetalSd,None,0.0,CBlock,0.0,672.0,672.0,5,252,0.0,0.0,1,0,3,1,6,1,2.0,0,0,7,2007,11.719126295554126
380,527355150,20,RL,9.169518377455928,4,Inside,NWAmes,1Story,8,5,1981,1981,BrkFace,None,0.0,PConc,1104.0,1420.0,2524.0,3,0,1.0,0.0,2,1,4,1,9,1,2.0,474,120,7,2009,12.535376392672774
2860,909276010,70,RL,9.344434106456882,3,Corner,Crawfor,2Story,8,7,1929,1950,BrkFace,None,0.0,PConc,0.0,792.0,792.0,2,725,0.0,0.0,1,0,3,1,7,2,2.0,0,0,6,2006,12.345834587905333
2517,533250130,120,RL,9.164191715950203,3,CulDSac,Veenker,1Story,8,5,1995,1996,BrkFace,None,0.0,PConc,437.0,0.0,1494.0,5,0,1.0,0.0,1,1,2,1,6,1,2.0,0,30,4,2006,12.506177237980511
1933,535302070,20,RL,9.301094735244646,4,Inside,NAmes,1Story,6,6,1952,1952,Wd Sdng,None,0.0,CBlock,441.0,507.0,948.0,3,0,0.0,0.0,1,0,2,1,5,0,2.0,0,48,4,2007,11.736069016284437
820,906340110,20,RL,9.272093768251665,4,Inside,CollgCr,1Story,8,5,2007,2008,VinylSd,Stone,336.0,PConc,1288.0,417.0,1705.0,5,0,1.0,0.0,2,0,3,1,7,1,3.0,208,44,9,2009,12.601487417784837
675,535426150,20,RL,9.104979856318357,3,Inside,NAmes,1Story,6,6,1958,1958,Wd Sdng,BrkFace,82.0,CBlock,0.0,160.0,160.0,2,0,0.0,0.0,1,0,2,1,5,1,1.0,0,28,4,2009,11.639558115903595
2910,923225240,160,RM,7.887959336599945,4,Inside,MeadowV,2Story,5,6,1977,1977,CemntBd,None,0.0,PConc,548.0,36.0,757.0,5,550,0.0,0.0,2,0,4,1,6,1,1.0,104,26,7,2006,11.751942365440728
21,527358140,20,RL,9.371693622333941,3,Inside,NWAmes,1Story,6,6,1977,1977,Plywood,BrkFace,480.0,CBlock,705.0,1139.0,1844.0,5,0,0.0,0.0,2,0,3,1,7,1,2.0,0,122,1,2010,12.154779351142624
1873,534177210,20,RL,9.169518377455928,4,Inside,NWAmes,1Story,7,6,1973,1973,HdBoard,BrkFace,320.0,CBlock,916.0,326.0,1242.0,2,0,0.0,0.0,1,1,3,1,6,1,2.0,0,0,9,2007,12.075394321888057
2125,907135050,20,RL,9.03931477492408,2,Inside,CollgCr,1Story,5,7,1994,1994,VinylSd,None,0.0,PConc,420.0,570.0,990.0,5,0,1.0,0.0,1,0,3,1,5,0,1.0,256,0,7,2007,11.891361900690473
1489,908102260,20,RL,9.204020443231363,4,Inside,Edwards,1Story,5,6,1965,1965,HdBoard,None,0.0,CBlock,830.0,136.0,1256.0,4,0,1.0,0.0,1,1,3,1,6,0,1.0,736,68,6,2008,11.901583454762012
983,923275040,85,RL,9.116139576577355,3,Corner,Mitchel,SFoyer,5,6,1978,1978,Plywood,BrkFace,104.0,PConc,1097.0,0.0,1097.0,5,0,1.0,0.0,1,0,1,1,4,1,2.0,303,30,7,2009,12.016726473799254
1325,902406090,50,RM,9.405084448768694,4,Inside,OldTown,1.5Fin,5,5,1954,1954,MetalSd,BrkFace,335.0,BrkTil,0.0,1050.0,1050.0,5,745,0.0,0.0,2,0,4,1,7,0,1.0,0,0,11,2008,11.786762130599957
1378,905102170,20,RL,9.323669057283185,4,Inside,Sawyer,1Story,5,5,1965,1965,HdBoard,None,0.0,CBlock,906.0,134.0,1040.0,5,0,1.0,0.0,1,0,3,1,5,0,1.0,0,0,2,2008,11.771436160121729
1537,909281110,70,RL,9.17678358844734,3,Inside,Crawfor,2Story,8,6,1935,1950,BrkFace,Stone,40.0,PConc,210.0,398.0,608.0,3,890,0.0,0.0,1,1,4,1,9,2,2.0,0,0,6,2008,12.45712704000522
905,909101140,50,RL,9.30546871706776,4,Inside,Edwards,1.5Fin,5,5,1941,1960,Wd Sdng,None,0.0,CBlock,408.0,156.0,984.0,5,620,0.0,0.0,2,0,3,1,6,0,2.0,0,68,7,2009,11.669929213779893
1532,909275050,70,RL,8.881836305004146,4,Inside,Crawfor,2Story,7,6,1931,2000,Stucco,None,0.0,BrkTil,0.0,776.0,776.0,3,651,0.0,0.0,1,1,3,1,6,1,1.0,0,0,2,2008,11.911701584927597
132,534475100,20,RL,9.20230820027892,4,Inside,NAmes,1Story,5,5,1954,1954,HdBoard,Stone,110.0,CBlock,354.0,412.0,1056.0,3,0,1.0,0.0,1,0,3,1,6,0,1.0,0,0,2,2010,11.759785542901755
1078,528188090,160,RL,7.803026643632217,4,Inside,NridgHt,2Story,7,5,2003,2004,VinylSd,Stone,106.0,PConc,0.0,764.0,764.0,5,862,0.0,0.0,2,1,2,1,6,0,2.0,0,27,10,2008,11.951180395901384
2511,533221080,160,FV,8.005700678662542,4,Inside,Somerst,2Story,6,5,2000,2000,MetalSd,BrkFace,513.0,PConc,353.0,403.0,756.0,5,756,0.0,0.0,2,1,2,1,4,0,2.0,0,32,6,2006,12.01974306733868
912,909250220,50,RL,8.962391701743002,4,Inside,SWISU,1.5Fin,4,3,1928,1950,WdShing,None,0.0,BrkTil,622.0,500.0,1122.0,3,653,1.0,0.0,2,0,4,1,7,2,2.0,431,44,12,2009,11.813030057420567
2351,527356020,60,RL,9.722684841711443,3,Inside,NWAmes,2Story,7,5,1978,1978,Plywood,BrkFace,184.0,CBlock,790.0,133.0,1392.0,3,1392,1.0,0.0,3,1,5,1,12,2,2.0,0,112,7,2006,12.429216196844383
330,923226250,160,RM,7.297091005160418,4,Inside,MeadowV,2Story,4,7,1970,1970,CemntBd,None,0.0,CBlock,176.0,370.0,546.0,5,546,0.0,0.0,1,1,3,1,5,0,0.0,200,26,3,2010,11.238488619268468
2586,535305120,20,RL,9.227197489042606,4,Corner,NAmes,1Story,6,6,1951,1951,Wd Sdng,BrkFace,522.0,CBlock,0.0,216.0,216.0,3,0,0.0,0.0,1,1,2,1,5,1,2.0,0,0,6,2006,11.951180395901384
224,905106140,60,RL,9.144627828610801,4,Corner,Sawyer,2Story,6,7,1969,1969,HdBoard,Stone,143.0,CBlock,371.0,292.0,663.0,3,689,0.0,0.0,1,1,4,1,7,0,1.0,379,36,3,2010,11.970350312009105
98,533212020,160,FV,7.841492924460013,4,Inside,Somerst,2Story,7,5,2004,2005,MetalSd,None,0.0,PConc,368.0,190.0,600.0,5,600,1.0,0.0,2,1,2,1,4,0,2.0,0,172,2,2010,11.915051671812877
2565,534479300,20,RL,9.199077179697472,4,Inside,NAmes,1Story,5,6,1954,1975,MetalSd,None,0.0,CBlock,486.0,450.0,936.0,3,0,0.0,0.0,1,0,2,1,5,0,1.0,0,0,3,2006,11.703545824578878
1934,535304170,20,RL,8.979920411691197,4,Inside,NAmes,1Story,6,7,1953,1953,Wd Sdng,None,0.0,CBlock,85.0,0.0,1040.0,3,0,0.0,1.0,1,0,3,1,6,0,1.0,0,0,6,2007,11.820410164718188
997,527107010,60,RL,9.618335609937972,2,Corner,Gilbert,2Story,6,5,1996,1996,HdBoard,None,0.0,PConc,138.0,778.0,916.0,4,720,0.0,0.0,2,1,3,1,7,1,2.0,168,84,11,2008,12.061046873479915
64,528382020,60,RL,9.372799299673886,3,CulDSac,NoRidge,2Story,8,7,1999,2007,VinylSd,BrkFace,348.0,PConc,524.0,628.0,1152.0,5,1106,0.0,0.0,2,1,4,1,9,1,3.0,132,57,4,2010,12.577636201962656
1799,528458130,60,FV,9.104979856318357,4,Inside,Somerst,2Story,8,5,2007,2007,CemntBd,None,0.0,PConc,64.0,1120.0,1184.0,5,1426,0.0,0.0,2,1,4,1,11,1,2.0,208,364,8,2007,12.623061104072981
230,905109170,20,RL,9.90658275744343,3,Inside,ClearCr,1Story,7,7,1977,2001,Wd Sdng,None,0.0,CBlock,1092.0,328.0,1420.0,4,0,1.0,0.0,1,1,1,1,4,2,2.0,496,0,4,2010,12.506177237980511
1295,902109160,50,RM,8.896724917497897,4,Corner,OldTown,1.5Fin,5,5,1920,1950,WdShing,None,0.0,BrkTil,360.0,576.0,936.0,4,780,0.0,0.0,1,0,2,1,6,1,1.0,0,0,6,2008,11.713823407337118
638,535178120,20,RL,9.07680897935166,4,Inside,NAmes,1Story,5,5,1955,1955,AsbShng,None,0.0,CBlock,172.0,727.0,1382.0,4,0,0.0,1.0,1,0,3,1,6,0,1.0,280,0,7,2009,11.938193200374572
2278,923202134,20,RL,9.036225051729327,4,Inside,Mitchel,1Story,5,5,2007,2007,VinylSd,None,0.0,PConc,206.0,914.0,1120.0,5,0,0.0,0.0,1,0,3,1,6,0,0.0,0,30,12,2007,11.898187865760873
2202,909252150,70,RL,8.294049640102028,4,Inside,Crawfor,2Story,7,8,1930,1995,Wd Sdng,None,0.0,BrkTil,246.0,285.0,531.0,3,531,1.0,0.0,1,0,2,1,5,1,1.0,0,0,6,2007,11.908340237224891
2833,908188150,160,RM,8.12058871174027,4,Inside,Edwards,2Story,7,5,2004,2004,VinylSd,Stone,117.0,PConc,0.0,976.0,976.0,5,732,0.0,0.0,2,0,3,1,7,0,2.0,0,40,4,2006,11.77528972943772
1707,528150040,20,RL,9.51892740510786,3,Corner,NridgHt,1Story,9,5,2006,2006,MetalSd,Stone,510.0,PConc,0.0,1802.0,1802.0,5,0,0.0,0.0,2,1,3,1,7,1,3.0,158,105,6,2007,12.826649133255284
2428,528228565,120,RL,8.0106915391303,4,Inside,Blmngtn,1Story,7,5,2005,2005,VinylSd,BrkFace,145.0,PConc,16.0,1346.0,1362.0,5,0,0.0,0.0,2,0,2,1,6,1,2.0,142,20,4,2006,12.27134527214637
242,905453080,20,RL,9.769098649497476,2,Inside,Edwards,1Story,7,5,2009,2010,VinylSd,Stone,96.0,PConc,1346.0,162.0,1508.0,5,0,1.0,0.0,1,0,1,1,5,2,2.0,0,0,1,2010,12.637952459809789
1564,914453045,20,RL,10.074495349429808,2,Inside,Mitchel,1Story,7,5,1996,1997,MetalSd,BrkFace,668.0,PConc,700.0,1140.0,1840.0,5,0,1.0,0.0,3,0,3,1,7,0,3.0,0,46,9,2008,12.611537753638338
2613,535403150,20,RL,9.094929520464856,4,Corner,NAmes,1Story,6,6,1959,1959,BrkFace,None,0.0,CBlock,655.0,0.0,655.0,5,0,0.0,1.0,1,0,3,1,6,1,2.0,0,0,7,2006,11.979799201207037
2832,908188140,160,RM,7.8328075165248645,4,Inside,Edwards,2Story,7,5,2004,2004,VinylSd,Stone,50.0,PConc,0.0,970.0,970.0,5,739,0.0,0.0,2,0,3,1,7,0,2.0,0,40,4,2006,11.831379196088763
2459,528439030,20,RL,9.069698042173716,4,Inside,Somerst,1Story,7,5,2005,2005,VinylSd,BrkFace,228.0,PConc,0.0,1616.0,1616.0,5,0,0.0,0.0,2,0,3,1,7,0,3.0,208,59,4,2006,12.354492650648448
1360,903452025,30,RM,8.74687531957003,3,Inside,IDOTRR,1Story,6,6,1930,1950,Stucco,None,0.0,BrkTil,0.0,768.0,768.0,3,0,0.0,0.0,1,0,1,1,4,0,2.0,0,0,7,2008,11.449453042014655
2723,905200380,30,RL,9.771611931222546,4,Inside,Sawyer,1Story,5,5,1924,1950,BrkFace,Stone,65.0,BrkTil,0.0,872.0,872.0,2,0,0.0,0.0,1,0,2,1,5,1,1.0,0,0,4,2006,11.56171562913966
1350,903235100,30,RM,8.752107198329362,3,Inside,BrkSide,1Story,4,6,1927,1950,MetalSd,None,0.0,BrkTil,0.0,520.0,520.0,2,0,0.0,0.0,1,0,1,1,4,0,1.0,49,0,5,2008,11.134589024250317
136,535106190,90,RL,9.358760377094455,4,Corner,NAmes,2Story,5,5,1960,1960,MetalSd,BrkFace,361.0,CBlock,443.0,662.0,1105.0,3,1169,0.0,0.0,2,0,5,2,12,0,2.0,0,0,1,2010,11.946654038351252
2235,910201050,50,RM,8.893984438939794,4,Inside,IDOTRR,1.5Fin,5,7,1925,2003,VinylSd,None,0.0,BrkTil,0.0,936.0,936.0,5,665,0.0,0.0,2,0,3,1,6,0,0.0,0,0,9,2007,11.774135217090894
1993,902301130,70,RM,8.427487278331744,4,Inside,OldTown,2Story,5,7,1910,1950,MetalSd,None,0.0,BrkTil,168.0,448.0,616.0,5,616,0.0,0.0,1,0,3,1,6,0,2.0,280,0,6,2007,11.643953727376633
1309,902300215,50,RM,9.446597562435775,3,Inside,OldTown,1.5Fin,5,8,1915,1950,Wd Sdng,None,0.0,BrkTil,0.0,876.0,876.0,4,540,0.0,0.0,1,1,4,1,7,1,3.0,418,0,6,2008,11.94405831982697
402,527425110,20,RL,9.104979856318357,4,FR2,NAmes,1Story,4,7,1971,2006,VinylSd,None,0.0,CBlock,240.0,624.0,864.0,4,0,0.0,0.0,1,0,3,1,5,0,2.0,200,0,7,2009,11.77528972943772
1592,923203140,120,RM,8.411832675758411,4,FR2,Mitchel,1Story,6,5,1997,1997,VinylSd,BrkFace,197.0,PConc,864.0,325.0,1189.0,5,0,1.0,0.0,2,0,2,1,4,0,2.0,0,122,4,2008,11.986049221552207
2409,528186110,120,RL,8.759825595314295,4,Inside,NridgHt,1Story,9,5,2006,2006,MetalSd,BrkFace,572.0,PConc,415.0,1251.0,1666.0,5,0,1.0,0.0,2,0,2,1,6,1,2.0,228,75,6,2006,12.644617856906528
1940,535327200,20,RL,9.495519314209846,4,Inside,NAmes,1Story,5,7,1956,2000,Wd Sdng,None,0.0,CBlock,377.0,551.0,928.0,3,0,0.0,0.0,1,0,2,1,4,0,1.0,261,0,6,2007,11.790557201568507
588,534129370,20,RL,9.169518377455928,4,Inside,NWAmes,1Story,5,5,1969,1969,HdBoard,BrkFace,128.0,CBlock,553.0,588.0,1288.0,3,0,0.0,1.0,2,0,3,1,6,1,2.0,312,11,8,2009,12.0015054797889
96,533210060,160,FV,8.07558263667172,4,Inside,Somerst,2Story,7,5,2004,2004,MetalSd,BrkFace,120.0,PConc,280.0,320.0,600.0,5,600,0.0,0.0,2,1,2,1,4,0,2.0,0,172,4,2010,11.951180395901384
1187,534127210,80,RL,9.315060682746585,3,Inside,NWAmes,SLvl,6,6,1969,1969,MetalSd,None,0.0,CBlock,828.0,599.0,1427.0,4,0,0.0,1.0,2,0,4,1,7,0,2.0,0,0,5,2008,12.117241431823558
2154,907280090,60,RL,9.635281256585003,1,Corner,CollgCr,2Story,7,5,1996,2002,VinylSd,BrkFace,254.0,PConc,762.0,98.0,860.0,5,780,1.0,0.0,2,1,3,1,7,2,2.0,225,32,6,2007,12.259613412458204
550,531452260,60,RL,9.11701821474481,4,Inside,SawyerW,2Story,7,5,1994,1994,VinylSd,None,0.0,PConc,36.0,122.0,754.0,5,786,1.0,0.0,2,1,3,1,6,0,2.0,140,32,10,2009,12.122691036591123
811,906226100,90,RL,8.85623355614316,4,Inside,SawyerW,1Story,5,5,1979,1979,HdBoard,None,0.0,Slab,0.0,0.0,0.0,3,0,0.0,0.0,2,0,4,2,8,0,2.0,0,0,6,2009,11.685684782260491
124,534403410,80,RL,9.554780778246572,3,Corner,NAmes,SLvl,5,7,1964,1964,Wd Sdng,BrkFace,86.0,PConc,1014.0,138.0,1152.0,3,0,1.0,0.0,1,0,3,1,6,1,2.0,227,0,4,2010,12.103486056755072
1836,533206060,120,FV,8.167068178341237,3,Inside,Somerst,1Story,8,5,2006,2007,VinylSd,Stone,30.0,PConc,60.0,1081.0,1141.0,5,0,1.0,0.0,2,0,2,1,5,0,2.0,0,60,2,2007,12.01974306733868
779,905200350,80,RL,9.636392113692736,4,Inside,Sawyer,SLvl,6,5,1960,1960,Wd Sdng,BrkFace,54.0,CBlock,588.0,550.0,1138.0,5,0,0.0,1.0,1,0,3,1,6,1,2.0,0,0,3,2009,11.904967552746252
1886,534276180,20,RL,8.915969311373605,3,Inside,NAmes,1Story,5,5,1956,1956,Wd Sdng,None,0.0,CBlock,438.0,250.0,894.0,4,0,0.0,0.0,1,0,2,1,6,1,2.0,0,72,1,2007,11.728036844587175
1724,528186090,120,RL,8.89740886527095,4,Inside,NridgHt,1Story,9,5,2005,2005,MetalSd,BrkFace,246.0,PConc,1153.0,408.0,1561.0,5,0,1.0,0.0,2,0,2,1,6,1,2.0,203,47,8,2007,12.533576212168626
2450,528358030,60,RL,9.212238569259263,3,Inside,NoRidge,2Story,8,5,1995,1995,VinylSd,BrkFace,397.0,PConc,527.0,815.0,1342.0,5,1368,0.0,0.0,2,1,4,1,9,1,3.0,307,169,6,2006,12.765688433465597
2084,905476170,30,RL,9.115809888129949,3,Inside,Edwards,1Story,4,7,1920,2002,Wd Sdng,None,0.0,BrkTil,348.0,180.0,528.0,5,0,1.0,0.0,1,0,2,1,5,0,0.0,0,0,7,2007,11.362102575235644
1184,533350120,20,RL,9.697692639556532,4,Inside,Veenker,1Story,8,9,1976,2007,VinylSd,None,0.0,CBlock,1044.0,0.0,1426.0,5,0,1.0,0.0,3,0,3,1,6,1,2.0,280,90,5,2008,12.577636201962656
728,902477130,30,C (all),9.147613542067878,4,Corner,IDOTRR,1Story,3,3,1900,1950,AsbShng,None,0.0,CBlock,0.0,245.0,245.0,3,0,0.0,0.0,1,0,2,1,5,0,0.0,0,36,9,2009,10.691944912900398
950,914474070,60,RL,9.409928663668856,3,CulDSac,Mitchel,2Story,6,5,2001,2002,VinylSd,None,0.0,PConc,690.0,114.0,804.0,5,1157,1.0,0.0,2,1,3,1,7,1,2.0,125,192,6,2009,12.2783933071098
2524,534125210,190,RL,9.481130576757746,3,Corner,NWAmes,1Story,5,6,1972,1972,Plywood,BrkFace,144.0,CBlock,962.0,191.0,1153.0,5,0,1.0,0.0,2,0,2,1,6,0,2.0,140,153,7,2006,11.894780707439258
2513,533223080,160,FV,7.8826922062890254,4,FR2,Somerst,2Story,7,5,2000,2000,MetalSd,None,0.0,PConc,641.0,32.0,673.0,5,709,1.0,0.0,2,1,3,1,6,0,2.0,153,50,4,2006,12.013700752882718
2028,903427040,50,RM,9.050171619823361,4,Inside,OldTown,1.5Fin,6,7,1916,1950,Stucco,None,0.0,BrkTil,168.0,0.0,714.0,3,862,0.0,0.0,2,0,5,1,10,1,1.0,88,15,8,2007,11.820410164718188
2309,526303060,20,RL,10.581114921438036,3,CulDSac,NAmes,1Story,6,6,1957,1957,Wd Sdng,Stone,902.0,CBlock,1110.0,595.0,1705.0,5,0,1.0,0.0,1,1,1,1,4,2,2.0,0,189,10,2006,12.437184366493561
51,528188120,160,RL,7.873978379604501,4,Inside,NridgHt,2Story,7,5,2003,2003,VinylSd,Stone,106.0,PConc,0.0,764.0,764.0,5,862,0.0,0.0,2,1,2,1,6,0,2.0,0,27,6,2010,12.075394321888057
699,902106010,70,RM,8.764990330169104,4,Inside,OldTown,2Story,5,6,1939,1950,Wd Sdng,None,0.0,BrkTil,421.0,269.0,690.0,3,690,0.0,0.0,1,1,3,1,7,1,2.0,0,36,10,2009,11.918390573078392
1881,534252110,20,RL,9.420763358881013,3,Inside,NAmes,1Story,5,5,1960,1978,Wd Sdng,None,0.0,CBlock,0.0,978.0,978.0,3,0,0.0,0.0,1,0,3,1,6,1,1.0,0,0,8,2007,11.848683160653573
1345,903232090,50,RM,8.738735461363474,4,Inside,BrkSide,1.5Fin,5,7,1930,1992,MetalSd,None,0.0,PConc,0.0,1078.0,1078.0,3,445,0.0,0.0,2,0,3,1,8,1,2.0,0,0,6,2008,12.000891794590137
166,535457010,20,RL,9.210340371976184,3,Corner,NAmes,1Story,6,6,1962,1962,Wd Sdng,BrkFace,261.0,CBlock,0.0,1116.0,1116.0,3,0,0.0,0.0,1,1,3,1,5,0,2.0,0,0,2,2010,11.982929094215963
781,905228050,20,RL,9.104979856318357,4,Corner,Sawyer,1Story,2,2,1947,1950,Wd Sdng,None,0.0,Slab,0.0,0.0,0.0,2,0,0.0,0.0,1,0,2,1,5,0,0.0,0,0,6,2009,11.065074640365626
